Feature,RANDOM_FOREST_importance,XGBOOST_importance,LIGHTGBM_importance,Average_importance
elapsed_observation_fraction,0.1020415803581679,0.01554546,81,27.03919568011939
hardness_ratio_czt_solexs_roll_std_60s,0.0938152861821825,0.07062579,60,20.05481369206073
solexs_counts_roll_cv_300s,0.0404222755271596,0.037554022,50,16.692658765842385
helios_czt_counts_roll_mean_300s,0.0586333728919655,0.06266242,41,13.707098597630655
solexs_counts_roll_cv_30s,0.0194109894234846,0.07016757,37,12.363192853141163
hardness_ratio_roll_mean_60s,0.0296427274836433,0.043034412,37,12.357559046494549
solexs_counts_ema_300s,0.0580128913071061,0.041915134,36,12.033309341769035
hardness_ratio_czt_cdte_roll_std_60s,0.0223618728337277,0.08931883,33,11.037226900944576
hardness_ratio_czt_solexs_roll_mean_60s,0.043573100906148,0.09233193,32,10.711968343635382
helios_czt_counts_roll_cv_300s,0.0631835450805218,0.055805493,32,10.706329679360174
hardness_ratio_czt_cdte_roll_mean_60s,0.0220900328226889,0.024664987,32,10.68225167327423
helios_czt_counts_roll_std_300s,0.0324282404474257,0.030028671,27,9.020818970482475
helios_counts_roll_cv_300s,0.0265805352272747,0.02712859,27,9.017903041742425
helios_czt_corr_300s,0.0333786106412025,0.030705178,25,8.354694596213735
helios_czt_counts_roll_kurt_300s,0.0435411940828409,0.07084345,22,7.3714615480276136
helios_counts_roll_max_300s,0.0266754230313166,0.010837192,21,7.01250420501044
solexs_counts_roll_var_300s,0.0432213569135918,0.015747864,19,6.352989740304531
helios_czt_counts_roll_var_300s,0.0353116974085046,0.03125635,14,4.688856015802835
helios_counts_roll_var_300s,0.0372293643278861,0.02293685,13,4.353388738109295
helios_counts_roll_kurt_300s,0.0157549012489227,0.004094799,13,4.339949900082974
solexs_counts_lag_300s,0.0204327067479538,0.009098563,11,3.676510423249318
solexs_counts_roll_range_300s,0.0243262772026029,0.03416312,10,3.352829799067534
solexs_counts_ema_diff_60_300s,0.015844627974916,0.0032952465,10,3.339713291491639
solexs_counts_roll_range_60s,0.0180314210616809,0.058406226,8,2.6921458823538935
solexs_counts_roll_var_60s,0.0278896269821462,0.016100667,7,2.3479967646607154
helios_czt_counts_roll_cv_60s,0.0140775095806929,0.0032283932,7,2.3391019675935643
helios_czt_counts_z_score_300s,0.0157386192543841,0.015351852,6,2.010363490418128
helios_counts_roll_kurt_60s,0.0045848022960067,0.008264423,3,1.0042830750986689
helios_counts_z_score_300s,0.0086793504522412,0.004795731,1,0.3378250271507471
helios_czt_counts_dist_max_300s,0.0030860603016126,9.0740636e-05,1,0.33439226697920416
