Feature,RANDOM_FOREST_importance,XGBOOST_importance,LIGHTGBM_importance,CATBOOST_importance,Average_importance
helios_czt_counts_roll_cv_300s,0.0008760565571745,0.10511824,0,26.348835022954763,6.613707329877984
helios_czt_counts_roll_mean_300s,0.0054099086977871,0.055659387,4,13.677421559144454,4.43462271371056
solexs_counts_ema_300s,0.0896691558266498,0.041810106,5,10.993359919464412,4.0312097953227655
helios_czt_counts_roll_std_300s,0.0007361714746048,0.01938319,3,12.513603797688033,3.8834307897906593
elapsed_observation_fraction,0.0008621256869381,0.009818766,13,0.550412886586745,3.390273444568421
hardness_ratio_czt_solexs_roll_mean_60s,0.0194839436172133,0.07298489,1,12.314127758059158,3.3516491479190926
hardness_ratio_czt_solexs_roll_std_60s,0.008555100012291,0.038603015,4,9.138162624506664,3.296330184879739
helios_czt_counts_roll_var_300s,0.0017102296571152,0.013948327,11,2.052647342266564,3.2670764747309198
hardness_ratio_czt_cdte_roll_std_60s,0.0010440432853764,0.25642198,6,5.719914559547386,2.9943451457081904
helios_counts_roll_cv_300s,0.0012045352017858,0.036213636,5,2.345962085239415,1.8458450641103004
helios_counts_roll_kurt_300s,0.0184007444386039,0.0041772043,5,0.0,1.255644487184651
solexs_counts_roll_cv_300s,0.0018658887387007,0.012503746,5,0.0,1.2535924086846753
hardness_ratio_czt_cdte_roll_mean_60s,0.0476392307158135,0.0011118741,3,1.6953522614668235,1.1860258415706593
helios_czt_counts_roll_kurt_300s,0.0005973716721214,0.048166327,4,0.0,1.0121909246680303
helios_czt_counts_z_score_300s,0.0004799226758403,0.037320912,3,0.0,0.7594502086689601
hardness_ratio_roll_mean_60s,0.0010138836352815,0.008289818,3,0.0,0.7523259254088204
helios_czt_corr_300s,0.0006051464671918,0.005876193,3,0.0,0.7516203348667979
helios_counts_roll_var_300s,0.0758026455088659,0.08432798,1,1.6282737216935772,0.6971010868006108
solexs_counts_roll_var_300s,0.0993834882899009,0.019637026,1,1.0219264613820085,0.5352367439179773
solexs_counts_roll_range_300s,0.1121058835726463,0.0037761885,2,0.0,0.5289705180181615
solexs_counts_lag_300s,0.0943893850645954,0.015205281,2,0.0,0.5273986665161489
helios_counts_roll_max_300s,0.0430128382136656,0.0023130756,2,0.0,0.5113314784534164
solexs_counts_roll_cv_30s,0.0322059787679446,0.023687648,1,0.0,0.26397340669198616
solexs_counts_ema_diff_60_300s,0.0078634359415337,0.00978524,1,0.0,0.25441216898538344
helios_counts_roll_kurt_60s,0.000673588775794,0.012879733,1,0.0,0.2533883304439485
helios_czt_counts_roll_cv_60s,0.0074945325724231,0.0018842515,1,0.0,0.2523446960181058
solexs_counts_roll_var_60s,0.1641073252146024,0.0,0,0.0,0.0410268313036506
solexs_counts_roll_range_60s,0.1614787721335283,0.0023588357,0,0.0,0.040959401958382075
helios_counts_z_score_300s,0.0005190551762801,0.056702975,0,0.0,0.014305507544070025
helios_czt_counts_dist_max_300s,0.0008096124077293,3.4189525e-05,0,0.0,0.000210950483182325
