Experiment ID,Model Name,Accuracy,Precision,Recall,Macro F1,Balanced Accuracy,ROC-AUC,Training Time (s),Inference Time/Sample (s),Model Size (KB),Memory Usage (MB),Feature Count,Best Hyperparameters
experiment_003,RANDOM_FOREST,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,{}
experiment_007,RANDOM_FOREST,,0.5,0.0033333333333333335,,,,0.0,0.0,0.0,0.0,0,{}
experiment_011,RANDOM_FOREST,,0.5,0.0033333333333333335,,,,0.0,0.0,0.0,0.0,0,{}
experiment_015,RANDOM_FOREST,,0.8059701492537313,0.045,,,,0.0,0.0,0.0,0.0,0,{}
experiment_019,RANDOM_FOREST,,0.7875647668393783,0.12666666666666668,,,,0.0,0.0,0.0,0.0,0,{}
experiment_023,RANDOM_FOREST,,0.5078099309437685,0.07149305555555556,,,,0.0,0.0,0.0,0.0,0,{}
experiment_029,RANDOM_FOREST,0.7410802469135802,0.3270713142967955,0.15616898148148148,0.5282564253911023,0.5321833664021164,0.5393182811236956,82.51027178764343,7.758709628886156e-07,7779.4775390625,1512.17578125,30,{}
experiment_030,XGBOOST,0.2838374485596708,0.155514099160508,0.501712962962963,0.2811754988911956,0.36165013227513226,0.31449418448706645,9.462831258773804,2.502898375193278e-07,427.666015625,120.9921875,30,{}
experiment_031,LIGHTGBM,0.38300154320987656,0.12557265874661527,0.29789351851851853,0.341655832783001,0.3526058201058201,0.30259960665754215,9.985095024108887,5.360425990304829e-07,350.45703125,263.80078125,30,{}
experiment_045,RANDOM_FOREST,0.22278292181069959,0.22233974655919625,0.9999421296296296,0.18263181103353476,0.5003397817460318,0.5199712636868019,113.35282015800476,7.895328135156828e-07,67138.9072265625,1027.34375,30,{}
experiment_046,XGBOOST,0.2222222222222222,0.2222222222222222,1.0,0.18181818181818182,0.5,0.47909744247026875,2.2190709114074707,5.539552665051119e-08,67.330078125,0.0,30,{}
experiment_047,LIGHTGBM,0.5243595679012346,0.18062533629815952,0.3224768518518519,0.4435725108992491,0.4522585978835979,0.455280226417824,1.9306018352508545,5.5554349726610225e-08,17.732421875,3.09765625,30,{}
experiment_048,CATBOOST,0.2222222222222222,0.2222222222222222,1.0,0.18181818181818182,0.5,0.3841894499865275,4.067262649536133,8.969824500535251e-08,3434.7646484375,155.14453125,30,{}
