Feature,Importance
elapsed_observation_fraction,81
hardness_ratio_czt_solexs_roll_std_60s,60
solexs_counts_roll_cv_300s,50
helios_czt_counts_roll_mean_300s,41
solexs_counts_roll_cv_30s,37
hardness_ratio_roll_mean_60s,37
solexs_counts_ema_300s,36
hardness_ratio_czt_cdte_roll_std_60s,33
hardness_ratio_czt_cdte_roll_mean_60s,32
helios_czt_counts_roll_cv_300s,32
hardness_ratio_czt_solexs_roll_mean_60s,32
helios_counts_roll_cv_300s,27
helios_czt_counts_roll_std_300s,27
helios_czt_corr_300s,25
helios_czt_counts_roll_kurt_300s,22
helios_counts_roll_max_300s,21
solexs_counts_roll_var_300s,19
helios_czt_counts_roll_var_300s,14
helios_counts_roll_var_300s,13
helios_counts_roll_kurt_300s,13
solexs_counts_lag_300s,11
solexs_counts_ema_diff_60_300s,10
solexs_counts_roll_range_300s,10
solexs_counts_roll_range_60s,8
helios_czt_counts_roll_cv_60s,7
solexs_counts_roll_var_60s,7
helios_czt_counts_z_score_300s,6
helios_counts_roll_kurt_60s,3
helios_czt_counts_dist_max_300s,1
helios_counts_z_score_300s,1
