Feature,Importance
hardness_ratio_czt_solexs_roll_mean_60s,0.09233193
hardness_ratio_czt_cdte_roll_std_60s,0.08931883
helios_czt_counts_roll_kurt_300s,0.07084345
hardness_ratio_czt_solexs_roll_std_60s,0.07062579
solexs_counts_roll_cv_30s,0.07016757
helios_czt_counts_roll_mean_300s,0.06266242
solexs_counts_roll_range_60s,0.058406226
helios_czt_counts_roll_cv_300s,0.055805493
hardness_ratio_roll_mean_60s,0.043034412
solexs_counts_ema_300s,0.041915134
solexs_counts_roll_cv_300s,0.037554022
solexs_counts_roll_range_300s,0.03416312
helios_czt_counts_roll_var_300s,0.03125635
helios_czt_corr_300s,0.030705178
helios_czt_counts_roll_std_300s,0.030028671
helios_counts_roll_cv_300s,0.02712859
hardness_ratio_czt_cdte_roll_mean_60s,0.024664987
helios_counts_roll_var_300s,0.02293685
solexs_counts_roll_var_60s,0.016100667
solexs_counts_roll_var_300s,0.015747864
elapsed_observation_fraction,0.01554546
helios_czt_counts_z_score_300s,0.015351852
helios_counts_roll_max_300s,0.010837192
solexs_counts_lag_300s,0.009098563
helios_counts_roll_kurt_60s,0.008264423
helios_counts_z_score_300s,0.004795731
helios_counts_roll_kurt_300s,0.004094799
solexs_counts_ema_diff_60_300s,0.0032952465
helios_czt_counts_roll_cv_60s,0.0032283932
helios_czt_counts_dist_max_300s,9.0740636e-05
