Feature,Importance
elapsed_observation_fraction,13
helios_czt_counts_roll_var_300s,11
hardness_ratio_czt_cdte_roll_std_60s,6
helios_counts_roll_cv_300s,5
solexs_counts_ema_300s,5
helios_counts_roll_kurt_300s,5
solexs_counts_roll_cv_300s,5
hardness_ratio_czt_solexs_roll_std_60s,4
helios_czt_counts_roll_kurt_300s,4
helios_czt_counts_roll_mean_300s,4
helios_czt_corr_300s,3
helios_czt_counts_z_score_300s,3
helios_czt_counts_roll_std_300s,3
hardness_ratio_roll_mean_60s,3
hardness_ratio_czt_cdte_roll_mean_60s,3
helios_counts_roll_max_300s,2
solexs_counts_lag_300s,2
solexs_counts_roll_range_300s,2
hardness_ratio_czt_solexs_roll_mean_60s,1
helios_counts_roll_kurt_60s,1
solexs_counts_roll_var_300s,1
helios_czt_counts_roll_cv_60s,1
solexs_counts_roll_cv_30s,1
solexs_counts_ema_diff_60_300s,1
helios_counts_roll_var_300s,1
helios_counts_z_score_300s,0
solexs_counts_roll_var_60s,0
solexs_counts_roll_range_60s,0
helios_czt_counts_roll_cv_300s,0
helios_czt_counts_dist_max_300s,0
