Feature,Importance
hardness_ratio_czt_cdte_roll_std_60s,0.25642198
helios_czt_counts_roll_cv_300s,0.10511824
helios_counts_roll_var_300s,0.08432798
hardness_ratio_czt_solexs_roll_mean_60s,0.07298489
helios_counts_z_score_300s,0.056702975
helios_czt_counts_roll_mean_300s,0.055659387
helios_czt_counts_roll_kurt_300s,0.048166327
solexs_counts_ema_300s,0.041810106
hardness_ratio_czt_solexs_roll_std_60s,0.038603015
helios_czt_counts_z_score_300s,0.037320912
helios_counts_roll_cv_300s,0.036213636
solexs_counts_roll_cv_30s,0.023687648
solexs_counts_roll_var_300s,0.019637026
helios_czt_counts_roll_std_300s,0.01938319
solexs_counts_lag_300s,0.015205281
helios_czt_counts_roll_var_300s,0.013948327
helios_counts_roll_kurt_60s,0.012879733
solexs_counts_roll_cv_300s,0.012503746
elapsed_observation_fraction,0.009818766
solexs_counts_ema_diff_60_300s,0.00978524
hardness_ratio_roll_mean_60s,0.008289818
helios_czt_corr_300s,0.005876193
helios_counts_roll_kurt_300s,0.0041772043
solexs_counts_roll_range_300s,0.0037761885
solexs_counts_roll_range_60s,0.0023588357
helios_counts_roll_max_300s,0.0023130756
helios_czt_counts_roll_cv_60s,0.0018842515
hardness_ratio_czt_cdte_roll_mean_60s,0.0011118741
helios_czt_counts_dist_max_300s,3.4189525e-05
solexs_counts_roll_var_60s,0.0
